page;compartiment;selecteur;avant_plan;arriere_plan;ratio;seuil_attendu;taille_px;graisse;extrait
admin-caisse-composeur-menu;conforme;a[href$="dashboard"];#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);normal;<a href="/admin/dashboard" class="sidebar-item">Tableau de bord</a>
admin-caisse-composeur-menu;conforme;.sidebar-section:nth-child(3) > .sidebar-section-label;#69707d;#ffffff;4,98;4.5:1;8.3pt (11px);bold;<div class="sidebar-section-label">Catalogue</div>
admin-caisse-composeur-menu;conforme;a[href$="categories"];#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);normal;<a href="/admin/categories" class="sidebar-item">Catégories</a>
admin-caisse-composeur-menu;conforme;a[href$="products"];#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);normal;<a href="/admin/products" class="sidebar-item">Produits</a>
admin-caisse-composeur-menu;conforme;a[href$="by-category"];#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);normal;<a href="/admin/products/by-category" class="sidebar-item">Produits par catégorie</a>
admin-caisse-composeur-menu;conforme;a[href$="menus"];#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);normal;<a href="/admin/menus" class="sidebar-item">Menus</a>
admin-caisse-composeur-menu;conforme;.sidebar-section:nth-child(4) > .sidebar-section-label;#69707d;#ffffff;4,98;4.5:1;8.3pt (11px);bold;<div class="sidebar-section-label">Stock</div>
admin-caisse-composeur-menu;conforme;a[href$="ingredients"];#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);normal;<a href="/admin/ingredients" class="sidebar-item">Ingrédients</a>
admin-caisse-composeur-menu;conforme;.sidebar-section:nth-child(5) > .sidebar-section-label;#69707d;#ffffff;4,98;4.5:1;8.3pt (11px);bold;<div class="sidebar-section-label">Pilotage</div>
admin-caisse-composeur-menu;conforme;.active;#1a1a1a;#fff3d1;15,74;4.5:1;11.3pt (15px);normal;<a href="/counter/orders" class="sidebar-item active">Saisie commande</a>
admin-caisse-composeur-menu;conforme;a[href$="stats"];#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);normal;<a href="/admin/stats" class="sidebar-item">Statistiques</a>
admin-caisse-composeur-menu;conforme;.sidebar-item[href$="orders"]:nth-child(4);#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);normal;<a href="/admin/orders" class="sidebar-item">Commandes</a>
admin-caisse-composeur-menu;conforme;a[href$="display"];#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);normal;<a href="/kitchen/display" class="sidebar-item">Cuisine (KDS)</a>
admin-caisse-composeur-menu;conforme;.sidebar-section:nth-child(6) > .sidebar-section-label;#69707d;#ffffff;4,98;4.5:1;8.3pt (11px);bold;<div class="sidebar-section-label">Administration</div>
admin-caisse-composeur-menu;conforme;a[href$="users"];#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);normal;<a href="/admin/users" class="sidebar-item">Utilisateurs</a>
admin-caisse-composeur-menu;conforme;a[href$="roles"];#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);normal;<a href="/admin/roles" class="sidebar-item">Rôles</a>
admin-caisse-composeur-menu;conforme;h1;#1a1a1a;#f5f5f5;15,96;3:1;15.0pt (20px);bold;<h1 class="page-title">Nouvelle commande comptoir</h1>
admin-caisse-composeur-menu;conforme;.btn-secondary.btn[href$="orders"];#4a4a4a;#ffffff;8,86;4.5:1;9.8pt (13px);normal;<a class="btn btn-secondary" href="/counter/orders">Annuler</a>
admin-caisse-composeur-menu;conforme;#pos-tab-2;#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);bold;<button class="pos__tab" type="button" id="pos-tab-2" data-category-id="2" role="tab" aria-selected=
admin-caisse-composeur-menu;conforme;#pos-tab-3;#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);bold;<button class="pos__tab" type="button" id="pos-tab-3" data-category-id="3" role="tab" aria-selected=
admin-caisse-composeur-menu;conforme;#pos-tab-4;#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);bold;<button class="pos__tab" type="button" id="pos-tab-4" data-category-id="4" role="tab" aria-selected=
admin-caisse-composeur-menu;conforme;#pos-tab-5;#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);bold;<button class="pos__tab" type="button" id="pos-tab-5" data-category-id="5" role="tab" aria-selected=
admin-caisse-composeur-menu;conforme;#pos-tab-6;#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);bold;<button class="pos__tab" type="button" id="pos-tab-6" data-category-id="6" role="tab" aria-selected=
admin-caisse-composeur-menu;conforme;#pos-tab-7;#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);bold;<button class="pos__tab" type="button" id="pos-tab-7" data-category-id="7" role="tab" aria-selected=
admin-caisse-composeur-menu;conforme;#pos-tab-8;#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);bold;<button class="pos__tab" type="button" id="pos-tab-8" data-category-id="8" role="tab" aria-selected=
admin-caisse-composeur-menu;conforme;#pos-tab-9;#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);bold;<button class="pos__tab" type="button" id="pos-tab-9" data-category-id="9" role="tab" aria-selected=
admin-caisse-composeur-menu;conforme;#pos-tab-1;#1a1a1a;#ffc72c;11,15;4.5:1;11.3pt (15px);bold;<button class="pos__tab is-active" type="button" id="pos-tab-1" data-category-id="1" role="tab" aria
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(1) > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Menu Le 280</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(1) > .pos-tile__body > .pos-tile__price;#4a4a4a;#ffffff;8,86;4.5:1;9.8pt (13px);bold;<span class="pos-tile__price">Normal 8,80 EUR / Maxi 10,30 EUR</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(1) > .pos-tile__badge[aria-hidden="true"];#ffffff;#1a1a1a;17,4;4.5:1;8.3pt (11px);bold;<span class="pos-tile__badge" aria-hidden="true">Menu</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(2) > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Menu Big Tasty</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(2) > .pos-tile__body > .pos-tile__price;#4a4a4a;#ffffff;8,86;4.5:1;9.8pt (13px);bold;<span class="pos-tile__price">Normal 10,60 EUR / Maxi 12,10 EUR</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(2) > .pos-tile__badge[aria-hidden="true"];#ffffff;#1a1a1a;17,4;4.5:1;8.3pt (11px);bold;<span class="pos-tile__badge" aria-hidden="true">Menu</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(3) > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Menu Big Tasty Bacon</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(3) > .pos-tile__body > .pos-tile__price;#4a4a4a;#ffffff;8,86;4.5:1;9.8pt (13px);bold;<span class="pos-tile__price">Normal 10,90 EUR / Maxi 12,40 EUR</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(3) > .pos-tile__badge[aria-hidden="true"];#ffffff;#1a1a1a;17,4;4.5:1;8.3pt (11px);bold;<span class="pos-tile__badge" aria-hidden="true">Menu</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(4) > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Menu Big Mac</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(4) > .pos-tile__body > .pos-tile__price;#4a4a4a;#ffffff;8,86;4.5:1;9.8pt (13px);bold;<span class="pos-tile__price">Normal 8,00 EUR / Maxi 9,50 EUR</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(4) > .pos-tile__badge[aria-hidden="true"];#ffffff;#1a1a1a;17,4;4.5:1;8.3pt (11px);bold;<span class="pos-tile__badge" aria-hidden="true">Menu</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(5) > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Menu CBO</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(5) > .pos-tile__body > .pos-tile__price;#4a4a4a;#ffffff;8,86;4.5:1;9.8pt (13px);bold;<span class="pos-tile__price">Normal 10,90 EUR / Maxi 12,40 EUR</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(5) > .pos-tile__badge[aria-hidden="true"];#ffffff;#1a1a1a;17,4;4.5:1;8.3pt (11px);bold;<span class="pos-tile__badge" aria-hidden="true">Menu</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(6) > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Menu MC Chicken</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(6) > .pos-tile__body > .pos-tile__price;#4a4a4a;#ffffff;8,86;4.5:1;9.8pt (13px);bold;<span class="pos-tile__price">Normal 9,30 EUR / Maxi 10,80 EUR</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(6) > .pos-tile__badge[aria-hidden="true"];#ffffff;#1a1a1a;17,4;4.5:1;8.3pt (11px);bold;<span class="pos-tile__badge" aria-hidden="true">Menu</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(7) > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Menu MC Crispy</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(7) > .pos-tile__body > .pos-tile__price;#4a4a4a;#ffffff;8,86;4.5:1;9.8pt (13px);bold;<span class="pos-tile__price">Normal 7,20 EUR / Maxi 8,70 EUR</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(7) > .pos-tile__badge[aria-hidden="true"];#ffffff;#1a1a1a;17,4;4.5:1;8.3pt (11px);bold;<span class="pos-tile__badge" aria-hidden="true">Menu</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(8) > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Menu MC Fish</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(8) > .pos-tile__body > .pos-tile__price;#4a4a4a;#ffffff;8,86;4.5:1;9.8pt (13px);bold;<span class="pos-tile__price">Normal 7,20 EUR / Maxi 8,70 EUR</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(8) > .pos-tile__badge[aria-hidden="true"];#ffffff;#1a1a1a;17,4;4.5:1;8.3pt (11px);bold;<span class="pos-tile__badge" aria-hidden="true">Menu</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(9) > .pos-tile__badge[aria-hidden="true"];#ffffff;#1a1a1a;17,4;4.5:1;8.3pt (11px);bold;<span class="pos-tile__badge" aria-hidden="true">Menu</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(10) > .pos-tile__badge[aria-hidden="true"];#ffffff;#1a1a1a;17,4;4.5:1;8.3pt (11px);bold;<span class="pos-tile__badge" aria-hidden="true">Menu</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(11) > .pos-tile__badge[aria-hidden="true"];#ffffff;#1a1a1a;17,4;4.5:1;8.3pt (11px);bold;<span class="pos-tile__badge" aria-hidden="true">Menu</span>
admin-caisse-composeur-menu;conforme;.pos-tile[aria-haspopup="dialog"][type="button"]:nth-child(12) > .pos-tile__badge[aria-hidden="true"];#ffffff;#1a1a1a;17,4;4.5:1;8.3pt (11px);bold;<span class="pos-tile__badge" aria-hidden="true">Menu</span>
admin-caisse-composeur-menu;conforme;.pos__panel-title;#1a1a1a;#ffffff;17,4;4.5:1;12.8pt (17px);bold;<span class="pos__panel-title">Commande</span>
admin-caisse-composeur-menu;conforme;label[for="service_mode"];#4a4a4a;#ffffff;8,86;4.5:1;10.5pt (14px);bold;<label class="pos__service-label" for="service_mode">Mode</label>
admin-caisse-composeur-menu;conforme;#service_mode;#1a1a1a;#ffffff;17,4;4.5:1;9.8pt (13px);normal;<select class="form-input" id="service_mode" name="service_mode"> <option value="dine_in" selected="
admin-caisse-composeur-menu;conforme;label[for="service_tag"];#4a4a4a;#ffffff;8,86;4.5:1;10.5pt (14px);bold;<label class="pos__service-label" for="service_tag">Table</label>
admin-caisse-composeur-menu;conforme;#service_tag;#1a1a1a;#ffffff;17,4;4.5:1;9.8pt (13px);normal;<input class="form-input" type="text" id="service_tag" name="service_tag" maxlength="20" value="" au
admin-caisse-composeur-menu;conforme;.order-cart__label;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);normal;<span class="order-cart__label">Coca Cola</span>
admin-caisse-composeur-menu;conforme;.order-cart__price;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="order-cart__price">1,90 EUR</span>
admin-caisse-composeur-menu;conforme;.order-cart__qty-value;#1a1a1a;#ffffff;17,4;4.5:1;12.0pt (16px);bold;<span class="order-cart__qty-value">1</span>
admin-caisse-composeur-menu;conforme;.order-cart__remove;#4a4a4a;#ffffff;8,86;4.5:1;9.8pt (13px);normal;<button class="btn btn-secondary order-cart__remove" type="button" aria-label="Retirer Coca Cola de 
admin-caisse-composeur-menu;conforme;#order-total;#1a1a1a;#f9fafb;16,65;4.5:1;13.5pt (18px);bold;<p class="order-total" id="order-total">Total <span id="order-total-value">1,90 EUR</span></p>
admin-caisse-composeur-menu;conforme;#order-total-value;#1a1a1a;#f9fafb;16,65;4.5:1;13.5pt (18px);bold;<span id="order-total-value">1,90 EUR</span>
admin-caisse-composeur-menu;conforme;#order-submit;#1a1a1a;#ffc72c;11,15;4.5:1;12.8pt (17px);normal;<button class="btn btn-primary pos__pay" type="submit" id="order-submit">Encaisser 1,90 EUR</button>
admin-caisse-composeur-menu;conforme;#menu-composer-title;#1a1a1a;#ffffff;17,4;4.5:1;13.5pt (18px);bold;<h2 class="menu-composer__title" id="menu-composer-title">Menu Le 280</h2>
admin-caisse-composeur-menu;conforme;.menu-composer__format > .menu-composer__legend;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);normal;<p class="menu-composer__legend">Format</p>
admin-caisse-composeur-menu;conforme;button[data-value="normal"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#fffbeb;16,78;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Normal</span>
admin-caisse-composeur-menu;conforme;button[data-value="maxi"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Maxi</span>
admin-caisse-composeur-menu;conforme;.menu-composer__slot:nth-child(3) > .menu-composer__legend;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);normal;<p class="menu-composer__legend">Accompagnement</p>
admin-caisse-composeur-menu;conforme;button[data-value="23"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#fffbeb;16,78;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Moyenne Frite</span>
admin-caisse-composeur-menu;conforme;button[data-value="25"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Potatoes</span>
admin-caisse-composeur-menu;conforme;.menu-composer__slot:nth-child(4) > .menu-composer__legend;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);normal;<p class="menu-composer__legend">Boisson</p>
admin-caisse-composeur-menu;conforme;button[data-value="14"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#fffbeb;16,78;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Coca Cola</span>
admin-caisse-composeur-menu;conforme;button[data-value="15"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Coca Sans Sucres</span>
admin-caisse-composeur-menu;conforme;button[data-value="16"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Eau</span>
admin-caisse-composeur-menu;conforme;button[data-value="17"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Fanta Orange</span>
admin-caisse-composeur-menu;conforme;button[data-value="18"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Ice Tea Pêche</span>
admin-caisse-composeur-menu;conforme;button[data-value="19"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Ice Tea Citron</span>
admin-caisse-composeur-menu;conforme;button[data-value="20"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Jus d'Orange</span>
admin-caisse-composeur-menu;conforme;button[data-value="21"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Jus de Pommes Bio</span>
admin-caisse-composeur-menu;conforme;.menu-composer__slot:nth-child(5) > .menu-composer__legend;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);normal;<p class="menu-composer__legend">Sauce (optionnel)</p>
admin-caisse-composeur-menu;conforme;button[data-value=""] > .pos-tile__body > .pos-tile__name;#1a1a1a;#fffbeb;16,78;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Sans</span>
admin-caisse-composeur-menu;conforme;button[data-value="47"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Classic Barbecue</span>
admin-caisse-composeur-menu;conforme;button[data-value="48"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Classic Moutarde</span>
admin-caisse-composeur-menu;conforme;button[data-value="49"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Creamy Deluxe</span>
admin-caisse-composeur-menu;conforme;button[data-value="50"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Ketchup</span>
admin-caisse-composeur-menu;conforme;button[data-value="51"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Chinoise</span>
admin-caisse-composeur-menu;conforme;button[data-value="52"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Curry</span>
admin-caisse-composeur-menu;conforme;button[data-value="53"] > .pos-tile__body > .pos-tile__name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="pos-tile__name">Pommes Frites</span>
admin-caisse-composeur-menu;conforme;.menu-composer__modifiers > .menu-composer__legend;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);normal;<p class="menu-composer__legend">Personnalisation</p>
admin-caisse-composeur-menu;conforme;.menu-composer__modifier:nth-child(2);#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);normal;<label class="menu-composer__modifier"><input type="checkbox" class="menu-composer__modifier-remove"
admin-caisse-composeur-menu;conforme;.menu-composer__modifier:nth-child(3);#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);normal;<label class="menu-composer__modifier"><input type="checkbox" class="menu-composer__modifier-add" da
admin-caisse-composeur-menu;conforme;.menu-composer__modifier:nth-child(4);#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);normal;<label class="menu-composer__modifier"><input type="checkbox" class="menu-composer__modifier-remove"
admin-caisse-composeur-menu;conforme;.menu-composer__modifier:nth-child(5);#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);normal;<label class="menu-composer__modifier"><input type="checkbox" class="menu-composer__modifier-remove"
admin-caisse-composeur-menu;conforme;.menu-composer__modifier:nth-child(6);#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);normal;<label class="menu-composer__modifier"><input type="checkbox" class="menu-composer__modifier-remove"
admin-caisse-composeur-menu;conforme;.menu-composer__add;#1a1a1a;#ffc72c;11,15;4.5:1;9.8pt (13px);normal;<button class="btn btn-primary menu-composer__add" type="button">Ajouter au panier</button>
admin-caisse-composeur-menu;conforme;.menu-composer__cancel;#4a4a4a;#ffffff;8,86;4.5:1;9.8pt (13px);normal;<button class="btn btn-secondary menu-composer__cancel" type="button">Annuler</button>
admin-caisse-composeur-menu;conforme;.a11y-toggle__icon;#1a1a1a;#ffffff;17,4;4.5:1;11.3pt (15px);bold;<span class="a11y-toggle__icon" aria-hidden="true">Aa</span>
admin-caisse-composeur-menu;conforme;.a11y-toggle__label;#1a1a1a;#ffffff;17,4;4.5:1;9.8pt (13px);bold;<span class="a11y-toggle__label">Police adaptée</span>
admin-caisse-comptoir;conforme;.topbar-user-avatar;#ffc72c;#1a1a1a;11,15;4.5:1;9.8pt (13px);bold;<div class="topbar-user-avatar">WA</div>
admin-caisse-comptoir;conforme;.topbar-user-name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<div class="topbar-user-name">Wakdo Admin</div>
admin-caisse-comptoir;conforme;.topbar-user-role;#69707d;#ffffff;4,98;4.5:1;8.3pt (11px);normal;<div class="topbar-user-role">Administrateur</div>
admin-caisse-comptoir;conforme;.sidebar-brand-name;#1a1a1a;#ffffff;17,4;3:1;15.8pt (21px);bold;<span class="sidebar-brand-name">Wak<span>do</span></span>
admin-caisse-comptoir;conforme;.sidebar-brand-name > span;#ae7f09;#ffffff;3,59;3:1;15.8pt (21px);bold;<span>do</span>
admin-caisse-comptoir;conforme;.sidebar-section:nth-child(2) > .sidebar-section-label;#69707d;#ffffff;4,98;4.5:1;8.3pt (11px);bold;<div class="sidebar-section-label">Vue d'ensemble</div>
admin-caisse-comptoir;conforme;a[href$="dashboard"];#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);normal;<a href="/admin/dashboard" class="sidebar-item">Tableau de bord</a>
admin-caisse-comptoir;conforme;.sidebar-section:nth-child(3) > .sidebar-section-label;#69707d;#ffffff;4,98;4.5:1;8.3pt (11px);bold;<div class="sidebar-section-label">Catalogue</div>
admin-caisse-comptoir;conforme;a[href$="categories"];#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);normal;<a href="/admin/categories" class="sidebar-item">Catégories</a>
admin-caisse-comptoir;conforme;a[href$="products"];#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);normal;<a href="/admin/products" class="sidebar-item">Produits</a>
admin-caisse-comptoir;conforme;a[href$="by-category"];#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);normal;<a href="/admin/products/by-category" class="sidebar-item">Produits par catégorie</a>
admin-caisse-comptoir;conforme;a[href$="menus"];#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);normal;<a href="/admin/menus" class="sidebar-item">Menus</a>
admin-caisse-comptoir;conforme;.sidebar-section:nth-child(4) > .sidebar-section-label;#69707d;#ffffff;4,98;4.5:1;8.3pt (11px);bold;<div class="sidebar-section-label">Stock</div>
admin-caisse-comptoir;conforme;a[href$="ingredients"];#4a4a4a;#ffffff;8,86;4.5:1;11.3pt (15px);normal;<a href="/admin/ingredients" class="sidebar-item">Ingrédients</a>
admin-caisse-comptoir;conforme;.sidebar-section:nth-child(5) > .sidebar-section-label;#69707d;#ffffff;4,98;4.5:1;8.3pt (11px);bold;<div class="sidebar-section-label">Pilotage</div>
admin-caisse-comptoir;conforme;.active;#1a1a1a;#fff3d1;15,74;4.5:1;11.3pt (15px);normal;<a href="/counter/orders" class="sidebar-item active">Saisie commande</a>
